calories,proteins,fat,carbohydrate,name
0.2978723404255319,0.1108433734939759,0.284,0.0,Abon
0.5457446808510639,0.2855421686746988,0.37,0.03292117465224111,Abon haruwan
0.0,0.0,0.002,0.0,Agar-agar
0.047872340425531915,0.013253012048192772,0.004,0.01669242658423493,Akar tonjong segar
0.039361702127659576,0.05301204819277109,0.005,0.0058732612055641415,Aletoge segar
0.09042553191489362,0.010843373493975905,0.065,0.011901081916537867,Alpukat segar
0.1021276595744681,0.04457831325301205,0.006,0.029520865533230294,Ampas kacang hijau
0.44042553191489364,0.3204819277108434,0.18300000000000002,0.06383307573415764,Ampas Tahu
0.0797872340425532,0.04939759036144578,0.021,0.016537867078825347,Ampas tahu kukus
0.07127659574468086,0.060240963855421686,0.021,0.012519319938176197,Ampas tahu mentah
0.19574468085106383,0.22650602409638557,0.14,0.0,Anak sapi daging gemuk segar
0.1851063829787234,0.23614457831325303,0.1,0.0,Anak sapi daging kurus segar
0.2021276595744681,0.23012048192771087,0.12,0.0,Anak sapi daging sedang segar
0.10531914893617021,0.05542168674698795,0.01,0.027820710973724884,Andaliman segar
0.026595744680851064,0.01927710843373494,0.002,0.008191653786707881,Andewi
0.031914893617021274,0.006024096385542169,0.002,0.010510046367851623,Anggur hutan segar
0.37659574468085105,0.19759036144578312,0.315,0.0,Angsa
0.13404255319148936,0.04096385542168675,0.079,0.015919629057187017,Anyang sayur
0.06170212765957447,0.0036144578313253013,0.004,0.02302936630602782,Apel
0.06063829787234043,0.006024096385542169,0.004,0.019783616692426585,Apel malang segar
0.039361702127659576,0.00963855421686747,0.005,0.012828438948995364,Arbei
0.12021276595744682,0.010843373493975905,0.07200000000000001,0.01731066460587326,Ares sayur
0.10851063829787234,0.012048192771084338,0.002,0.03724884080370943,Arrowroot segar
0.2946808510638298,0.02891566265060241,0.25,0.016537867078825347,Arwan sirsir
0.0797872340425532,0.0024096385542168677,0.011000000000000001,0.024884080370942814,Asam kandis segar
0.2542553191489362,0.033734939759036145,0.006,0.09659969088098917,Asam masak di pohon
0.14361702127659576,0.00963855421686747,0.004,0.04961360123647605,Asam payak segar
0.2776595744680851,0.010843373493975905,0.016,0.09783616692426583,Asan kandis kering
0.10425531914893617,0.046987951807228916,0.026000000000000002,0.02287480680061824,Asinan Bogor sayuran
0.32127659574468087,0.21927710843373494,0.25,0.0,Ayam
0.3159574468085106,0.43253012048192774,0.152,0.002472952086553323,Ayam  goreng Kentuckysayap
0.2872340425531915,0.38915662650602406,0.11199999999999999,0.015301391035548687,Ayam ampela goreng
0.0797872340425532,0.16626506024096388,0.019,0.0010819165378670788,Ayam dideh/darah segar
0.31382978723404253,0.4096385542168675,0.16,0.00231839258114374,Ayam goreng church texa sayap
